BAIRRO;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
CAMPO GRANDE;-22.9067;-43.5581;Zona Oeste;1767
SANTA CRUZ;-22.9167;-43.6833;Zona Oeste;1680
BANGU;-22.8781;-43.4681;Zona Oeste;957
REALENGO;-22.88;-43.4308;Zona Oeste;705
PACIENCIA;-22.9273;-43.6366;Zona Oeste;560
COSMOS;-22.9111;-43.6042;Zona Oeste;553
JACAREPAGUA;-22.9678;-43.3917;Zona Oeste;436
GUARATIBA;-23.0508;-43.5706;Zona Oeste;428
SEPETIBA;-22.9783;-43.7044;Zona Oeste;345
INHOAIBA;-22.8981;-43.5419;Zona Oeste;335
SENADOR CAMARA;-22.8992;-43.4906;Zona Oeste;313
PADRE MIGUEL;-22.8785;-43.4474;Zona Oeste;225
SANTISSIMO;-22.8746;-43.5194;Zona Oeste;213
ANCHIETA;-22.8237;-43.3996;Zona Norte;189
TIJUCA;-22.9253;-43.2381;Zona Norte;168
IRAJA;-22.8317;-43.3239;Zona Norte;140
PAVUNA;-22.8106;-43.3597;Zona Norte;139
PENHA;-22.8403;-43.2819;Zona Norte;125
SENADOR VASCONCELOS;-22.8956;-43.5333;Zona Oeste;109
VILA ISABEL;-22.9164;-43.2472;Zona Norte;106
GUADALUPE;-22.8371;-43.3739;Zona Norte;103
PEDRA DE GUARATIBA;-23.0689;-43.6247;Zona Oeste;101
MARECHAL HERMES;-22.875;-43.3681;Zona Norte;94
BENTO RIBEIRO;-22.8676;-43.3597;Zona Norte;93
MADUREIRA;-22.8744;-43.3378;Zona Norte;90
RICARDO DE ALBUQUERQUE;-22.815;-43.3936;Zona Norte;89
OLARIA;-22.8481;-43.2653;Zona Norte;88
BONSUCESSO;-22.8653;-43.2506;Zona Norte;87
INHAUMA;-22.8747;-43.2825;Zona Norte;87
ROCHA MIRANDA;-22.8494;-43.3522;Zona Norte;87
RAMOS;-22.8464;-43.2486;Zona Norte;86
COSTA BARROS;-22.8256;-43.3701;Zona Norte;81
CORDOVIL;-22.8193;-43.2948;Zona Norte;79
COELHO NETO;-22.8267;-43.3564;Zona Norte;73
PIEDADE;-22.8937;-43.3105;Zona Norte;69
OSWALDO CRUZ;-22.8856;-43.3478;Zona Norte;69
ENGENHO NOVO;-22.9083;-43.2679;Zona Norte;63
VIGARIO GERAL;-22.8083;-43.3258;Zona Norte;62
MAGALHAES BASTOS;-22.8747;-43.4138;Zona Oeste;59
CASCADURA;-22.8842;-43.3288;Zona Norte;58
MANGUEIRA;-22.9047;-43.2385;Zona Norte;58
RIO COMPRIDO;-22.9239;-43.2108;Centro;58
ENGENHO DE DENTRO;-22.9026;-43.2944;Zona Norte;58
COPACABANA;-22.9711;-43.1825;Zona Sul;56
ESTACIO;-22.9136;-43.2035;Centro;56
PILARES;-22.885;-43.3031;Zona Norte;51
VILA VALQUEIRE;-22.8886;-43.3656;Zona Oeste;51
ILHA DO GOVERNADOR;-22.8053;-43.2065;Ilha do Governador;50
JACARE;-22.8958;-43.2587;Zona Norte;50
PENHA CIRCULAR;-22.845;-43.2919;Zona Norte;49
LINS DE VASCONCELOS;-22.9111;-43.2847;Zona Norte;48
SAO CRISTOVAO;-22.8997;-43.2242;Zona Norte;48
ANDARAI;-22.9249;-43.2542;Zona Norte;45
MARE;-22.8615;-43.2433;Zona Norte;44
DEODORO;-22.8556;-43.3819;Zona Oeste;44
COLEGIO;-22.8426;-43.3363;Zona Norte;43
TOMAS COELHO;-22.8623;-43.3063;Zona Norte;43
ENGENHO DA RAINHA;-22.84;-43.2981;Zona Norte;42
CIDADE DE DEUS;-22.9419;-43.365;Zona Oeste;42
MEIER;-22.9019;-43.2783;Zona Norte;40
ILHA DE PAQUETA;-22.7601;-43.1094;Ilha de Paquetá;40
BARROS FILHO;-22.9068;-43.1729;Centro;39
QUINTINO BOCAIUVA;-22.8958;-43.3192;Zona Norte;39
BRAS DE PINA;-22.9068;-43.1729;Centro;37
HONORIO GURGEL;-22.9068;-43.1729;Centro;37
CATUMBI;-22.9068;-43.1729;Centro;34
BARRA DE GUARATIBA;-22.9068;-43.1729;Centro;33
TAQUARA;-22.9068;-43.1729;Centro;33
RECREIO DOS BANDEIRANTES;-23.0203;-43.4658;Zona Oeste;33
VICENTE DE CARVALHO;-22.9068;-43.1729;Centro;32
CACHAMBI;-22.8875;-43.2756;Zona Norte;32
VAZ LOBO;-22.9068;-43.1729;Centro;29
BENFICA;-22.8944;-43.2392;Zona Norte;28
BARRA DA TIJUCA;-23.0064;-43.3647;Zona Oeste;28
MANGUINHOS;-22.9068;-43.1729;Centro;27
BRAZ DE PINA;-22.9068;-43.1729;Centro;25
PARADA DE LUCAS;-22.9068;-43.1729;Centro;25
CAVALCANTI;-22.9068;-43.1729;Centro;24
JARDIM AMERICA;-22.8105;-43.3232;Zona Norte;24
PAQUETA;-22.7601;-43.1094;Ilha de Paquetá;23
BOTAFOGO;-22.9497;-43.1828;Zona Sul;23
TURIACU;-22.82;-43.32;Zona Norte;23
SENADOR  VASCONCELOS;-22.9068;-43.1729;Centro;22
SANTA TERESA;-22.9068;-43.1729;Centro;22
VILA DA PENHA;-22.8381;-43.3161;Zona Norte;22
