LOCALIDADE;LATITUDE;LONGITUDE;REGIAO;STATUS;QTD_REGISTROS
CAMPO GRANDE;-22.9067;-43.5581;Zona Oeste;BAIRRO RJ;1767
SANTA CRUZ;-22.9167;-43.6833;Zona Oeste;BAIRRO RJ;1680
BANGU;-22.8781;-43.4681;Zona Oeste;BAIRRO RJ;957
REALENGO;-22.88;-43.4308;Zona Oeste;BAIRRO RJ;705
PACIENCIA;-22.9273;-43.6366;Zona Oeste;BAIRRO RJ;560
COSMOS;-22.9111;-43.6042;Zona Oeste;BAIRRO RJ;553
JACAREPAGUA;-22.9678;-43.3917;Zona Oeste;BAIRRO RJ;436
GUARATIBA;-23.0508;-43.5706;Zona Oeste;BAIRRO RJ;428
SEPETIBA;-22.9783;-43.7044;Zona Oeste;BAIRRO RJ;345
INHOAIBA;-22.8981;-43.5419;Zona Oeste;BAIRRO RJ;335
SENADOR CAMARA;-22.8992;-43.4906;Zona Oeste;BAIRRO RJ;313
PADRE MIGUEL;-22.8785;-43.4474;Zona Oeste;BAIRRO RJ;225
SANTISSIMO;-22.8746;-43.5194;Zona Oeste;BAIRRO RJ;213
ANCHIETA;-22.8237;-43.3996;Zona Norte;BAIRRO RJ;189
TIJUCA;-22.9253;-43.2381;Zona Norte;BAIRRO RJ;168
IRAJA;-22.8317;-43.3239;Zona Norte;BAIRRO RJ;140
PAVUNA;-22.8106;-43.3597;Zona Norte;BAIRRO RJ;139
PENHA;-22.8403;-43.2819;Zona Norte;BAIRRO RJ;125
SENADOR VASCONCELOS;-22.8956;-43.5333;Zona Oeste;BAIRRO RJ;109
VILA ISABEL;-22.9164;-43.2472;Zona Norte;BAIRRO RJ;106
GUADALUPE;-22.8371;-43.3739;Zona Norte;BAIRRO RJ;103
PEDRA DE GUARATIBA;-23.0689;-43.6247;Zona Oeste;BAIRRO RJ;101
MARECHAL HERMES;-22.875;-43.3681;Zona Norte;BAIRRO RJ;94
BENTO RIBEIRO;-22.8676;-43.3597;Zona Norte;BAIRRO RJ;93
MADUREIRA;-22.8744;-43.3378;Zona Norte;BAIRRO RJ;90
RICARDO DE ALBUQUERQUE;-22.815;-43.3936;Zona Norte;BAIRRO RJ;89
OLARIA;-22.8481;-43.2653;Zona Norte;BAIRRO RJ;88
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;88
INHAUMA;-22.8747;-43.2825;Zona Norte;BAIRRO RJ;87
ROCHA MIRANDA;-22.8494;-43.3522;Zona Norte;BAIRRO RJ;87
BONSUCESSO;-22.8653;-43.2506;Zona Norte;BAIRRO RJ;87
RAMOS;-22.8464;-43.2486;Zona Norte;BAIRRO RJ;86
COSTA BARROS;-22.8256;-43.3701;Zona Norte;BAIRRO RJ;81
CORDOVIL;-22.8193;-43.2948;Zona Norte;BAIRRO RJ;79
COELHO NETO;-22.8267;-43.3564;Zona Norte;BAIRRO RJ;73
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;70
PIEDADE;-22.8937;-43.3105;Zona Norte;BAIRRO RJ;69
OSWALDO CRUZ;-22.8856;-43.3478;Zona Norte;BAIRRO RJ;69
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;66
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;63
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;63
ENGENHO NOVO;-22.9083;-43.2679;Zona Norte;BAIRRO RJ;63
VIGARIO GERAL;-22.8083;-43.3258;Zona Norte;BAIRRO RJ;62
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;FORA DO MUNICIPIO;60
MAGALHAES BASTOS;-22.8747;-43.4138;Zona Oeste;BAIRRO RJ;59
RIO COMPRIDO;-22.9239;-43.2108;Centro;BAIRRO RJ;58
ENGENHO DE DENTRO;-22.9026;-43.2944;Zona Norte;BAIRRO RJ;58
CASCADURA;-22.8842;-43.3288;Zona Norte;BAIRRO RJ;58
MANGUEIRA;-22.9047;-43.2385;Zona Norte;BAIRRO RJ;58
ESTACIO;-22.9136;-43.2035;Centro;BAIRRO RJ;56
COPACABANA;-22.9711;-43.1825;Zona Sul;BAIRRO RJ;56
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;55
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;FORA DO MUNICIPIO;54
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;51
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;51
PILARES;-22.885;-43.3031;Zona Norte;BAIRRO RJ;51
VILA VALQUEIRE;-22.8886;-43.3656;Zona Oeste;BAIRRO RJ;51
ILHA DO GOVERNADOR;-22.8053;-43.2065;Ilha do Governador;BAIRRO RJ;50
JACARE;-22.8958;-43.2587;Zona Norte;BAIRRO RJ;50
PENHA CIRCULAR;-22.845;-43.2919;Zona Norte;BAIRRO RJ;49
LINS DE VASCONCELOS;-22.9111;-43.2847;Zona Norte;BAIRRO RJ;48
SAO CRISTOVAO;-22.8997;-43.2242;Zona Norte;BAIRRO RJ;48
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;47
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;FORA DO MUNICIPIO;47
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;47
ANDARAI;-22.9249;-43.2542;Zona Norte;BAIRRO RJ;45
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;44
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;FORA DO MUNICIPIO;44
DEODORO;-22.8556;-43.3819;Zona Oeste;BAIRRO RJ;44
MARE;-22.8615;-43.2433;Zona Norte;BAIRRO RJ;44
TOMAS COELHO;-22.8623;-43.3063;Zona Norte;BAIRRO RJ;43
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;43
COLEGIO;-22.8426;-43.3363;Zona Norte;BAIRRO RJ;43
CIDADE DE DEUS;-22.9419;-43.365;Zona Oeste;BAIRRO RJ;42
ENGENHO DA RAINHA;-22.84;-43.2981;Zona Norte;BAIRRO RJ;42
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;FORA DO MUNICIPIO;42
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;FORA DO MUNICIPIO;42
ILHA DE PAQUETA;-22.7601;-43.1094;Ilha de Paquetá;BAIRRO RJ;40
