CIDADE;LATITUDE;LONGITUDE;REGIAO;QTD_REGISTROS
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;88
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;70
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;66
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;63
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;63
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;60
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;55
QUEIMADOS;-22.7106;-43.5518;Baixada Fluminense;54
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;51
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;51
SEROPEDICA;-22.7439;-43.7076;Baixada Fluminense;47
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;47
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;47
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;44
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;44
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;43
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;42
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;42
JAPERI;-22.6431;-43.6533;Baixada Fluminense;39
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;39
JAPERI;-22.6431;-43.6533;Baixada Fluminense;38
SAO JOAO DE MERITI;-22.8046;-43.3729;Baixada Fluminense;36
MAGE;-22.6556;-43.0402;Baixada Fluminense;35
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;33
BELFORD ROXO;-22.764;-43.3992;Baixada Fluminense;32
MESQUITA;-22.7824;-43.4297;Baixada Fluminense;32
DUQUE DE CAXIAS;-22.7856;-43.3116;Baixada Fluminense;31
NILOPOLIS;-22.8058;-43.4233;Baixada Fluminense;31
NOVA IGUACU;-22.7592;-43.4511;Baixada Fluminense;31
